Word	TAG
)	O
The	O
Parties	O
wish	O
to	O
set	O
out	O
the	O
terms	O
and	O
conditions	O
of	O
the	O
Loan	O
in	O
this	O
agreement	O
(	O
the	O
" NN - O
Loan NNP - O
Agreement NNP - O
)."	O
NOW	O
,	O
THEREFORE	O
THE	O
PARTIES	O
AGREE	O
AS	O
FOLLOWS	O
:	O
1	O
.	O
INTERPRETATION	O
In	O
this	O
Loan	O
Agreement	O
,	O
unless	O
otherwise	O
specified	O
or	O
the	O
context	O
otherwise	O
requires	O
:	O
1	O
.	O
1	O
words	O
importing	O
the	O
singular	O
shall	O
include	O
the	O
plural	O
and	O
vice	O
versa	O
;	O
1	O
.	O
2	O
words	O
importing	O
any	O
gender	O
shall	O
include	O
all	O
other	O
genders	O
;	O
1	O
.	O
3	O
words	O
importing	O
the	O
whole	O
shall	O
be	O
treated	O
as	O
including	O
reference	O
to	O
any	O
part	O
of	O
the	O
whole	O
;	O
1	O
.	O
4	O
reference	O
to	O
an	O
Article	O
is	O
to	O
the	O
relevant	O
article	O
of	O
this	O
Loan	O
Agreement	O
;	O
1	O
.	O
5	O
reference	O
to	O
this	O
Loan	O
Agreement	O
or	O
to	O
any	O
other	O
document	O
is	O
a	O
reference	O
to	O
this	O
Loan	O
Agreement	O
or	O
to	O
that	O
other	O
document	O
as	O
modified	O
,	O
amended	O
,	O
varied	O
,	O
supplemented	O
or	O
replaced	O
from	O
time	O
to	O
time	O
;	O
1	O
.	O
6	O
reference	O
to	O
a	O
provision	O
of	O
law	O
is	O
a	O
reference	O
to	O
that	O
provision	O
as	O
extended	O
,	O
applied	O
,	O
amended	O
,	O
consolidated	O
or	O
re	O
-	O
enacted	O
or	O
as	O
the	O
application	O
thereof	O
is	O
modified	O
from	O
time	O
to	O
time	O
and	O
shall	O
be	O
construed	O
as	O
including	O
reference	O
to	O
any	O
order	O
,	O
instrument	O
,	O
regulation	O
or	O
other	O
subordinate	O
legislation	O
from	O
time	O
to	O
time	O
made	O
under	O
it	O
,	O
except	O
as	O
otherwise	O
provided	O
in	O
this	O
Loan	O
Agreement	O
;	O
Page	O
3	O
of	O
12	O
7	O
-	O
December	O
2007	O
1	O
.	O
7	O
all	O
references	O
to	O
the	O
words	O
�	O
include	O
�	O
and	O
�	O
including	O
�	O
shall	O
be	O
construed	O
without	O
limitation	O
;	O
1	O
.	O
8	O
a	O
reference	O
to	O
writing	O
or	O
written	O
includes	O
faxes	O
and	O
e	O
-	O
mail	O
;	O
1	O
.	O
9	O
headings	O
used	O
in	O
this	O
Loan	O
Agreement	O
shall	O
not	O
affect	O
its	O
construction	O
or	O
interpretation	O
;	O
1	O
.	O
10	O
words	O
and	O
phrases	O
defined	O
in	O
any	O
part	O
of	O
this	O
Loan	O
Agreement	O
bear	O
the	O
same	O
meanings	O
throughout	O
this	O
Agreement	O
;	O
1	O
.	O
11	O
wherever	O
in	O
this	O
Loan	O
Agreement	O
provision	O
is	O
made	O
for	O
the	O
giving	O
of	O
notice	O
,	O
consent	O
or	O
approval	O
by	O
any	O
person	O
,	O
unless	O
otherwise	O
stated	O
,	O
such	O
shall	O
not	O
be	O
unreasonably	O
withheld	O
.	O
Any	O
notice	O
,	O
consent	O
or	O
approval	O
shall	O
be	O
in	O
writing	O
and	O
the	O
word	O
�	O
notify	O
�	O
shall	O
be	O
construed	O
accordingly	O
.	O
All	O
notices	O
shall	O
be	O
served	O
on	O
the	O
Parties	O
designated	O
representative	O
at	O
the	O
registered	O
address	O
of	O
the	O
Party	O
or	O
other	O
address	O
that	O
a	O
Party	O
may	O
notify	O
the	O
other	O
Party	O
of	O
from	O
time	O
to	O
time	O
.	O
2	O
.	O
LOAN	O
2	O
.	O
1	O
The	O
Lender	I-PER
grants	O
the	O
Borrower	I-PER
a	O
loan	O
of	O
a	O
total	O
principal	O
amount	O
of	O
thirty	O
million	O
Euros	O
(	O
EUR	O
30	O
,	O
000	O
,	O
000	O
)	O
to	O
be	O
disbursed	O
to	O
the	O
Borrower	I-PER
in	O
two	O
instalments	O
,	O
as	O
follows	O
:	O
2	O
.	O
1	O
.	O
1	O
A	O
first	O
instalment	O
of	O
fifteen	O
million	O
Euros	O
(	O
EUR	O
15	O
,	O
000	O
,	O
000	O
)	O
to	O
be	O
paid	O
no	O
later	O
than	O
30	O
November	O
2007	O
;	O
and	O
2	O
.	O
1	O
.	O
2	O
A	O
second	O
instalment	O
of	O
fifteen	O
million	O
Euros	O
(	O
EUR	O
15	O
,	O
000	O
,	O
000	O
)	O
to	O
be	O
paid	O
no	O
later	O
than	O
31	O
January	O
2008	O
.	O
2	O
.	O
2	O
The	O
actual	O
disbursement	O
date	O
of	O
the	O
last	O
instalment	O
of	O
the	O
Loan	O
to	O
the	O
Borrower	I-PER
shall	O
be	O
the	O
" NN - O
Effective NNP - O
Date NNP - O
."	O
2	O
.	O
3	O
The	O
Loan	O
is	O
to	O
be	O
paid	O
by	O
the	O
Lender	I-PER
into	O
the	O
Borrower	I-PER
'	O
s	O
account	O
in	O
immediately	O
available	O
cleared	O
funds	O
as	O
follows	O
:	O
Bank	I-ORG
:	O
ING	O
Belgium	I-LOC
S	O
.	O
A	O
.,	O
Succursale	O
en	O
France	I-LOC
Branch	O
:	O
Immeuble	I-LOC
Les	I-LOC
Caryatides	I-LOC
,	O
24	I-LOC
/	I-LOC
26	I-LOC
boulevard	I-LOC
Carnot	I-LOC
,	O
59042	I-LOC
Lille	I-LOC
cedex	I-LOC
Account	O
Number	O
:	O
30438	O
IBAN	O
number	O
:	O
FR76	O
3043	O
8000	O
0836	O
8300	O
3000	O
905	O
BIC	O
Number	O
:	O
INGBFRPP	O
Code	O
Guichet	O
:	O
00008	O
No	O
du	O
Compte	O
:	O
36830	O
03	O
0009	O
Cle	O
RIB	O
:	O
05	O
or	O
to	O
such	O
other	O
bank	I-ORG
account	O
as	O
may	O
be	O
nominated	O
from	O
time	O
to	O
time	O
by	O
the	O
Borrower	I-PER
to	O
the	O
Lender	I-PER
pursuant	O
to	O
Article	O
14	O
.	O
2	O
.	O
4	O
The	O
Loan	O
shall	O
be	O
used	O
by	O
the	O
Borrower	I-PER
solely	O
to	O
finance	O
the	O
works	O
arising	O
out	O
of	O
and	O
relating	O
to	O
the	O
construction	O
of	O
the	O
Borrower	I-PER
'	O
s	O
plant	O
(	O
the	O
" NN - O
Works VBZ - O
)."	O
For	O
the	O
avoidance	O
of	O
doubt	O
,	O
the	O
Loan	O
shall	O
not	O
be	O
used	O
to	O
increase	O
management	O
remuneration	O
,	O
for	O
the	O
repayment	O
of	O
any	O
indebtedness	O
for	O
borrowed	O
money	O
or	O
for	O
any	O
capital	O
distribution	O
to	O
the	O
Borrower	I-PER
'	O
s	O
equity	O
holders	O
.	O
3	O
.	O
INTEREST	O
AND	O
REPAYMENT	O
3	O
.	O
1	O
The	O
Borrower	I-PER
shall	O
,	O
from	O
the	O
Effective	O
Date	O
,	O
pay	O
interest	O
in	O
arrears	O
to	O
the	O
Lender	I-PER
on	O
the	O
Loan	O
outstanding	O
from	O
time	O
to	O
time	O
,	O
such	O
interest	O
calculated	O
at	O
a	O
rate	O
of	O
three	O
percent	O
(	O
3	O
%)	O
per	O
Calendar	O
Year	O
compounded	O
annually	O
on	O
the	O
actual	O
outstanding	O
amount	O
of	O
the	O
Loan	O
plus	O
any	O
accrued	O
interest	O
and	O
any	O
other	O
amounts	O
due	O
hereunder	O
;	O
provided	O
that	O
upon	O
a	O
failure	O
to	O
repay	O
a	O
part	O
of	O
the	O
Loan	O
when	O
due	O
or	O
any	O
other	O
default	O
by	O
Borrower	I-PER
set	O
forth	O
in	O
Page	O
4	O
of	O
12	O
7	O
-	O
December	O
2007	O
Clause	O
18	O
under	O
this	O
Loan	O
Agreement	O
,	O
the	O
foregoing	O
rate	O
shall	O
increase	O
to	O
an	O
amount	O
equal	O
to	O
(	O
a	O
)	O
the	O
twelve	O
-	O
month	O
EURIBOR	O
rate	O
determined	O
on	O
the	O
business	O
day	O
preceding	O
the	O
default	O
as	O
reported	O
in	O
the	O
Wall	I-LOC
Street	I-LOC
Journal	O
,	O
plus	O
(	O
b	O
)	O
three	O
(	O
3	O
%)	O
on	O
the	O
unpaid	O
amount	O
only	O
.	O
" NN - O
Calendar NNP - O
Year NNP - O
"	O
means	O
the	O
period	O
of	O
365	O
or	O
366	O
days	O
,	O
as	O
the	O
case	O
may	O
be	O
,	O
beginning	O
on	O
1st	O
January	O
and	O
ending	O
on	O
31st	O
December	O
.	O
3	O
.	O
2	O
Interest	O
shall	O
be	O
calculated	O
on	O
the	O
basis	O
of	O
the	O
actual	O
number	O
of	O
days	O
elapsed	O
.	O
3	O
.	O
3	O
The	O
Borrower	I-PER
shall	O
repay	O
the	O
Loan	O
and	O
interest	O
and	O
accrued	O
hereunder	O
,	O
on	O
the	O
date	O
falling	O
five	O
(	O
5	O
)	O
years	O
after	O
the	O
Effective	O
Date	O
(	O
the	O
" NNP - O
Repayment NNP - O
Date NNP - O
),"	O
save	O
that	O
the	O
Borrower	I-PER
may	O
prepay	O
all	O
or	O
part	O
of	O
the	O
Loan	O
in	O
accordance	O
with	O
Article	O
4	O
and	O
provided	O
that	O
in	O
the	O
event	O
that	O
the	O
Lender	I-PER
terminates	O
the	O
Silicon	O
S	O
&	O
P	O
Agreement	O
pursuant	O
to	O
Article	O
11	O
.	O
1	O
thereof	O
,	O
the	O
Repayment	O
Date	O
shall	O
be	O
the	O
effective	O
date	O
of	O
such	O
termination	O
.	O
3	O
.	O
4	O
The	O
interest	O
due	O
on	O
the	O
outstanding	O
amount	O
of	O
the	O
Loan	O
(	O
first	O
and	O
second	O
instalments	O
)	O
shall	O
be	O
payable	O
in	O
whole	O
on	O
the	O
Repayment	O
Date	O
.	O
3	O
.	O
5	O
For	O
the	O
purposes	O
of	O
Articles	O
L	O
.	O
313	O
-	O
1	O
et	O
seq	O
.,	O
R	O
.	O
313	O
-	O
1	O
and	O
R	O
.	O
313	O
-	O
2	O
of	O
the	O
French	I-MISC
Code	O
de	O
la	O
Consommation	O
,	O
the	O
Lender	I-PER
hereby	O
informs	O
the	O
Borrower	I-PER
that	O
the	O
all	O
-	O
in	O
rate	O
(	O
taux	O
effectif	O
global	O
)	O
of	O
the	O
Loan	O
is	O
three	O
percent	O
(	O
3	O
%).	O
3	O
.	O
6	O
All	O
payments	O
made	O
by	O
the	O
Borrower	I-PER
to	O
the	O
Lender	I-PER
shall	O
be	O
in	O
Euros	O
in	O
immediately	O
available	O
cleared	O
funds	O
by	O
electronic	O
transfer	O
to	O
an	O
account	O
held	O
by	O
Silicon	I-LOC
Valley	I-LOC
Bank	I-ORG
,	O
account	O
number	O
[�],	O
swift	O
code	O
[�],	O
for	O
the	O
credit	O
of	O
[�].	O
4	O
.	O
EARLY	O
REPAYMENT	O
4	O
.	O
1	O
The	O
Borrower	I-PER
shall	O
at	O
all	O
times	O
be	O
allowed	O
to	O
prepay	O
the	O
Loan	O
in	O
whole	O
or	O
in	O
part	O
,	O
without	O
premium	O
or	O
penalty	O
,	O
provided	O
it	O
does	O
so	O
in	O
whole	O
multiples	O
of	O
EUR	O
100	O
,	O
000	O
and	O
that	O
ten	O
(	O
10	O
)	O
days	O
prior	O
written	O
notice	O
has	O
been	O
delivered	O
to	O
the	O
Lender	I-PER
.	O
4	O
.	O
2	O
Notwithstanding	O
the	O
provisions	O
of	O
Clause	O
3	O
.	O
4	O
,	O
any	O
early	O
redemption	O
under	O
this	O
Agreement	O
shall	O
include	O
accrued	O
interest	O
on	O
the	O
amount	O
prepaid	O
.	O
5	O
.	O
REPRESENTATIONS	O
Except	O
as	O
otherwise	O
stated	O
below	O
,	O
each	O
of	O
the	O
Lender	I-PER
and	O
the	O
Borrower	I-PER
hereby	O
represents	O
and	O
warrants	O
that	O
:	O
(	O
A	O
)	O
It	O
is	O
a	O
company	O
duly	O
incorporated	O
and	O
validly	O
existing	O
under	O
the	O
laws	O
of	O
its	O
jurisdiction	O
of	O
incorporation	O
;	O
(	O
B	O
)	O
The	O
obligations	O
expressed	O
to	O
be	O
assumed	O
by	O
it	O
are	O
valid	O
and	O
binding	O
obligations	O
;	O
(	O
C	O
)	O
The	O
entry	O
into	O
and	O
performance	O
by	O
it	O
of	O
this	O
Loan	O
Agreement	O
do	O
not	O
and	O
will	O
not	O
conflict	O
with	O
(	O
a	O
)	O
any	O
provision	O
of	O
any	O
law	O
or	O
regulation	O
applicable	O
to	O
it	O
,	O
(	O
b	O
)	O
its	O
constitutional	O
documents	O
,	O
and	O
(	O
c	O
)	O
any	O
agreement	O
which	O
is	O
binding	O
upon	O
it	O
or	O
any	O
of	O
its	O
assets	O
;	O
and	O
(	O
D	O
)	O
It	O
has	O
the	O
power	O
to	O
enter	O
into	O
,	O
perform	O
and	O
deliver	O
this	O
Loan	O
Agreement	O
and	O
the	O
transactions	O
contemplated	O
therein	O
.	O
6	O
.	O
UNDERTAKINGS	O
Except	O
as	O
otherwise	O
stated	O
below	O
,	O
each	O
of	O
the	O
Lender	I-PER
and	O
the	O
Borrower	I-PER
hereby	O
undertakes	O
:	O
(	O
A	O
)	O
To	O
do	O
all	O
such	O
things	O
as	O
are	O
necessary	O
to	O
maintain	O
its	O
corporate	O
existence	O
;	O
Page	O
5	O
of	O
12	O
7	O
-	O
December	O
2007	O
(	O
B	O
)	O
To	O
obtain	O
,	O
maintain	O
and	O
comply	O
with	O
the	O
terms	O
of	O
any	O
authorisation	O
required	O
under	O
any	O
applicable	O
law	O
or	O
regulation	O
to	O
(	O
i	O
)	O
enable	O
it	O
to	O
carry	O
out	O
its	O
activities	O
and	O
(	O
ii	O
)	O
perform	O
its	O
obligations	O
under	O
this	O
Loan	O
Agreement	O
;	O
and	O
(	O
C	O
)	O
To	O
comply	O
with	O
all	O
applicable	O
laws	O
and	O
regulations	O
.	O
7	O
.	O
SUBORDINATION	O
7	O
.	O
1	O
In	O
the	O
event	O
that	O
insolvency	O
proceedings	O
are	O
initiated	O
against	O
the	O
Borrower	I-PER
or	O
that	O
it	O
is	O
unable	O
to	O
pay	O
its	O
debts	O
as	O
they	O
fall	O
due	O
or	O
in	O
the	O
event	O
of	O
any	O
moratorium	O
on	O
its	O
debts	O
or	O
if	O
the	O
Borrower	I-PER
has	O
proposed	O
any	O
composition	O
,	O
assignment	O
or	O
arrangement	O
to	O
its	O
creditors	O
,	O
the	O
obligation	O
to	O
repay	O
the	O
outstanding	O
amount	O
of	O
the	O
Loan	O
:	O
7	O
.	O
1	O
.	O
1	O
shall	O
be	O
subordinated	O
to	O
any	O
indebtedness	O
of	O
the	O
Borrower	I-PER
to	O
any	O
lending	O
or	O
financial	O
institution	O
in	O
any	O
way	O
related	O
to	O
the	O
Works	O
,	O
both	O
present	O
and	O
future	O
notwithstanding	O
whether	O
such	O
indebtedness	O
is	O
recoverable	O
by	O
process	O
of	O
law	O
or	O
is	O
conditional	O
or	O
unconditional	O
"("""	O
Financial	O
Loans	O
"); : - O
7 CD - O
. . - O
1 CD - O
. . - O
2 CD - O
shall MD - O
rank VB - O
pari NN - O
passu NN - O
with IN - O
the DT - O
rights NNS - O
of IN - O
( NNP - O
i PRP - O
) VBP - O
any DT - O
other JJ - O
lender NN - I-PER
under IN - O
other JJ - O
loans NNS - O
similar JJ - O
to TO - O
the DT - O
Loan NNP - O
, , - O
entered VBD - O
into IN - O
( CD - O
or CC - O
to TO - O
be VB - O
entered VBN - O
into IN - O
) NNP - O
between IN - O
the DT - O
Borrower NNP - I-PER
and CC - O
any DT - O
other JJ - O
silicon NN - O
processor NN - O
or CC - O
photovoltaic JJ - O
items NNS - O
manufacturer NN - O
("	O
Manufacturer	O
Loans	O
"), NNP - O
and CC - O
( NNP - O
ii NN - O
) : - O
the DT - O
Borrower NNP - I-PER
' POS - O
s NNS - O
shareholders NNS - O
under IN - O
shareholders NNS - O
' POS - O
loans NNS - O
entered VBD - O
into IN - O
( CD - O
or CC - O
to TO - O
be VB - O
entered VBN - O
into IN - O
) NNP - O
between IN - O
the DT - O
Borrower NNP - I-PER
and CC - O
any DT - O
of IN - O
its PRP$ - O
shareholders NNS - O
("	O
Shareholder	O
'	O
s	O
Loans	O
